snip_id,task,snippet
36,"Print the lyrics to the song 99 Bottles of Beer:

99 bottles of beer on the wall, 99 bottles of beer.
Take one down and pass it around, 98 bottles of beer on the wall.

98 bottles of beer on the wall, 98 bottles of beer.
Take one down and pass it around, 97 bottles of beer on the wall.

…

1 bottle of beer on the wall, 1 bottle of beer.
Take one down and pass it around, no more bottles of beer on the wall.

No more bottles of beer on the wall, no more bottles of beer.
Go to the store and buy some more, 99 bottles of beer on the wall.","public class BeerSong {
    public static void main(String[] args) {
        for (int i = 99; i >= 1; i--) {
            System.out.println(i + "" bottles of beer on the wall, "" + i + "" bottles of beer."");
            if (i > 1) {
                System.out.println(""Take one down and pass it around, "" + (i-1) + "" bottles of beer on the wall."");
            } else {
                System.out.println(""Take one down and pass it around, no more bottles of beer on the wall."");
            }
        }
        System.out.println(""No more bottles of beer on the wall, no more bottles of beer."");
        System.out.println(""Go to the store and buy some more, 99 bottles of beer on the wall."");
    }
}
    "
37,"Print the numbers from 1 to 1,000 inclusive, each on their own line.

If, however, the number is a multiple of two then print Foo instead, if the number is a multiple of three then print Fizz, if the number is a multiple of five then print Buzz, and if the number is a multiple of seven then print Bar.

If multiple conditions hold true then all replacements should be printed, for example 15 should print FizzBuzz.","public class Main {
    public static void main(String[] args) {
        for (int i = 1; i <= 1000; i++) {
            if (i % 2 == 0) {
                System.out.print(""Foo"");
            }

            if (i % 3 == 0) {
                System.out.print(""Fizz"");
            }

            if (i % 5 == 0) {
                System.out.print(""Buzz"");
            }

            if (i % 7 == 0) {
                System.out.print(""Bar"");
            }

            if (i % 2 != 0 && i % 3 != 0 && i % 5 != 0 && i % 7 != 0) {
                System.out.print(i);
            }

            System.out.println();
        }
    }
}
    "
38,"Print π (pi) to the first 1,000 decimal places.","import java.math.BigDecimal;
import java.math.RoundingMode;

public class Pi1000 {
    public static void main(String[] args) {
        BigDecimal pi = new BigDecimal(""3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679"");

        pi = pi.setScale(1000, RoundingMode.DOWN);

        System.out.println(pi);
    }
}
"
39,"RPN (Reverse Polish notation) is a way of writing expressions such that operators are written after their operands: 3 2 + rather than (3+2).

Each argument is an RPN expression, given as a space-separated list of tokens: either a number 0…32767 or an operator (addition +, subtraction -, multiplication * or integer division /).

Evaluate and print the result of each expression on its own line.

The result of each operation is a non-negative integer not exceeding 32,767. Division is guaranteed to have an exact integer result.","import java.util.Scanner;
import java.util.Stack;

public class RPNCalculator {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        while (sc.hasNextLine()) {
            String line = sc.nextLine();
            String[] tokens = line.split("" "");
            Stack<Integer> stack = new Stack<>();
            for (String token : tokens) {
                switch (token) {
                    case ""+"":
                        stack.push(stack.pop() + stack.pop());
                        break;
                    case ""-"":
                        int b = stack.pop();
                        int a = stack.pop();
                        stack.push(a - b);
                        break;
                    case ""*"":
                        stack.push(stack.pop() * stack.pop());
                        break;
                    case ""/"":
                        b = stack.pop();
                        a = stack.pop();
                        stack.push(a / b);
                        break;
                    default:
                        stack.push(Integer.parseInt(token));
                }
            }
            System.out.println(stack.pop());
        }
    }
}
    "
40,"Starting from a(0) = 0, each term of the sequence is a(n) = a(n-1) − n but only if a(n) > 0 and it has not previously generated. In case the condition doesn't hold, a(n) = a(n-1) + n.

Print the first 250 terms of the sequence one per line.","public class Main {
    public static void main(String[] args) {
        int[] sequence = new int[250];
        sequence[0] = 0;
        System.out.println(sequence[0]);
        for (int i = 1; i < sequence.length; i++) {
            if (sequence[i-1] - i > 0 && notGenerated(sequence, sequence[i-1] - i, i)) {
                sequence[i] = sequence[i-1] - i;
                System.out.println(sequence[i]);
            } else {
                sequence[i] = sequence[i-1] + i;
                System.out.println(sequence[i]);
            }
        }
    }

    private static boolean notGenerated(int[] sequence, int num, int index) {
        for (int i = 0; i < index; i++) {
            if (sequence[i] == num) {
                return false;
            }
        }
        return true;
    }
}
    "
41,"The Collatz conjecture states that, for any positive integer n, it will eventually reach 1 by repeatedly applying the following procedure:

If n is even, divide it by 2.
If n is odd, multiply by 3 and then add 1.
The number of steps needed for n to reach 1 is called its stopping time. For example, the stopping time of 10 is six:

10 → 5 → 16 → 8 → 4 → 2 → 1

Print the stopping times of all the numbers from 1 to 1,000 inclusive, each on their own line.","public class CollatzConjecture {
    public static void main(String[] args) {
        for (int i = 1; i <= 1000; i++) {
            int n = i;
            int steps = 0;
            while (n != 1) {
                if (n % 2 == 0) { // if n is even
                    n /= 2;
                } else { // if n is odd
                    n = n * 3 + 1;
                }
                steps++;
            }
            System.out.println(steps);
        }
    }
}"
42,"The Fibonacci numbers are a numerical sequence in which each number is the sum of the two preceding numbers: 0, 1, 1, 2, 3, 5, 8, 13…

Print the first 31 Fibonacci numbers from F0 = 0 to F30 = 832040 (inclusive), each on a separate line.","public class FibonacciSequence {
    public static void main(String[] args) {
        int limit = 31, a = 0, b = 1, c;
        System.out.println(a);
        System.out.println(b);
        for (int i = 2; i <= limit; i++) {
            c = a + b;
            System.out.println(c);
            a = b;
            b = c;
        }
    }
}
    "
43,"The Levenshtein distance is the minimum number of single character edits that are needed to transform one word into another. The available edits are deletion, insertion, or substitution of a single character.

For example the Levenshtein distance between “shine” and “train” is 4:

shine → shin (deletion of 'e')
shin → tshin (insertion of 't')
tshin → trhin (substitution of 's' for 'r')
trhin → train (substitution of 'h' for 'a')
For each pair of words per argument, print the Levenshtein distance on its own line.","public class LevenshteinDistance {

    public static void main(String[] args) {

        if(args.length % 2 != 0){
            System.out.println(""Invalid number of arguments, enter word pairs only."");
            System.exit(0);
        }

        for(int i = 0; i < args.length; i += 2){
            String word1 = args[i];
            String word2 = args[i+1];

            int[][] matrix = new int[word1.length()+1][word2.length()+1];

            for(int j = 0; j <= word1.length(); j++){
                matrix[j][0] = j;
            }

            for(int j = 0; j <= word2.length(); j++){
                matrix[0][j] = j;
            }

            for(int j = 1; j <= word1.length(); j++){
                for(int k = 1; k <= word2.length(); k++){
                    if(word1.charAt(j-1) == word2.charAt(k-1)){
                        matrix[j][k] = matrix[j-1][k-1];
                    } else {
                        int delete = matrix[j-1][k] + 1;
                        int insert = matrix[j][k-1] + 1;
                        int substitute = matrix[j-1][k-1] + 1;
                        matrix[j][k] = Math.min(Math.min(delete, insert), substitute);
                    }
                }
            }

            System.out.println(matrix[word1.length()][word2.length()]);
        }
    }

}
    "
44,"The Look and Say sequence starts with 1 and is continued by looking at each of the runs of the same number in the previous term and combining the length with the original number. For example the next term after 111221 would be 312211 (three ones, two twos and one one).

Print the first 20 terms of the Look and Say sequence.","public class LookAndSaySequence {
    public static void main(String[] args) {
        String currentTerm = ""1"";
        System.out.println(currentTerm);

        for (int i = 1; i < 20; i++) {
            String nextTerm = generateNextTerm(currentTerm);
            System.out.println(nextTerm);
            currentTerm = nextTerm;
        }
    }

    private static String generateNextTerm(String currentTerm) {
        StringBuilder nextTermBuilder = new StringBuilder();
        char currentNumber = currentTerm.charAt(0);
        int currentNumberCount = 1;

        // Iterate through the current term and generate the next term
        for (int i = 1; i < currentTerm.length(); i++) {
            char nextNumber = currentTerm.charAt(i);

            if (nextNumber == currentNumber) {
                // If the next number is the same, increment the count
                currentNumberCount++;
            } else {
                // If the next number is different, add the count and number to the next term
                nextTermBuilder.append(currentNumberCount).append(currentNumber);
                // Reset the count and current number
                currentNumberCount = 1;
                currentNumber = nextNumber;
            }
        }

        // Don't forget to append the final count and number
        nextTermBuilder.append(currentNumberCount).append(currentNumber);
        return nextTermBuilder.toString();
    }
}
    "
45,"The lucky numbers are an integer sequence that results from a certain ""sieve"" process:

Start from the odd natural numbers a = 1 3 5 7 … viewed as a 1-indexed infinite sequence.

For each k = 2…∞, replace a with the result of deleting every a[k]-th term from a.

Print the first 1,000 terms of the resulting sequence.

Start:
    1 3 5 7 9 11 13 15 …
       ^
Delete every 3rd term and advance:
    1 3 7 9 13 15 19 21 …
          ^
Delete every 7th term and advance:
    1 3 7 9 13 15 21 25 …
             ^","public class LuckyNumbers {
    public static void main(String[] args) {
        int[] sequence = new int[1000];
        int a = 1;
        int index = 0;
        while(index < 1000) {
            sequence[index] = a;
            int k = 2;
            while(k <= index+1) {
                int count = 0;
                for(int i=0; i<index; i++) {
                    if(sequence[i] != 0) {
                        count++;
                        if(count == k) {
                            sequence[i] = 0;
                            count = 0;
                        }
                    }
                }
                k++;
            }
            a++;
            index++;
        }
        for(int i=0; i<1000; i++) {
            System.out.print(sequence[i] + "" "");
        }
    }
}
    "
46,"The nth Catalan number can be expressed as C(n) = binomial(2n,n)/(n+1).

Print the first 100 Catalan numbers, from C(0) to C(99) inclusive, each on their own line.

Note: C(99) is 57 digits long, and is greater than the 187th degree of 2.","public class CatalanNumberGenerator {

    public static void main(String[] args) {
        for (int n = 0; n <= 99; n++) {
            long catalanNumber = calculateCatalanNumber(n);
            System.out.println(catalanNumber);
        }
    }

    private static long calculateCatalanNumber(int n) {
        long numerator = calculateBinomialCoefficient(2 * n, n);
        long denominator = n + 1;
        return numerator / denominator;
    }

    private static long calculateBinomialCoefficient(int n, int k) {
        long result = 1;
        for (int i = 1; i <= k; i++) {
            result *= n - k + i;
            result /= i;
        }
        return result;
    }
}
    "
47,"The rules of the Van Eck sequence are as follows:

The first term is zero.
If the last term is new then the next term is zero.
Otherwise the next term is how far back the term occurred previously.
The first few terms are as follows:

0         (using a)
0 0       (using b)
0 0 1     (using c)
0 0 1 0   (using b)
0 0 1 0 2 (using c)
Print the first 1,000 terms of the Van Eck sequence, with each term on a new line.","public class VanEckSequence {
    public static void main(String[] args) {
        int n = 1000; // number of terms to print
        int[] seq = new int[n]; // initialize an array to store the sequence
        seq[0] = 0; // first term is always zero

        // loop through to generate new terms
        for (int i = 1; i < n; i++) {
            int last = seq[i-1]; // previous term
            boolean found = false; // flag to determine if term is new
            for (int j = i-2; j >= 0; j--) {
                if (seq[j] == last) { // if term is not new
                    seq[i] = i-1-j; // compute next term
                    found = true;
                    break;
                }
            }
            if (!found) { // if term is new
                seq[i] = 0; // next term is 0
            }
        }

        // print the sequence
        for (int i = 0; i < n; i++) {
            System.out.println(seq[i]);
        }
    }
}
    "
48,"Using pipes and underscores print the argument as if it were displayed on a seven segment display.

For example the number 0123456789 should be displayed as:

 _     _  _     _  _  _  _  _
|  |  | _| _||_||_ |_   ||_||_|
|_|  ||_  _|   | _||_|  ||_| _|","import java.util.Scanner;

public class SevenSegmentDisplay {

    public static void main(String[] args) {

        Scanner scanner = new Scanner(System.in);
        String input = scanner.nextLine();

        String[] digits = input.split("""");
        String[][] segments = new String[][]{
                {"" "", ""_"", "" ""},
                {""|"", ""_"", ""|""},
                {""|"", ""_"", ""|""},
                {"" "", "" "", "" ""}
        };

        for (int i = 0; i < segments.length; i++) {
            for (String digit : digits) {
                int num = Integer.parseInt(digit);
                String[] seg = segments[i];
                System.out.print(seg[0]);
                System.out.print(num == 1 || num == 4 ? "" "" : seg[1]);
                System.out.print(seg[2]);
                System.out.print("" "");
            }
            System.out.println();
        }
    }
}
    "
49,"We will build a sequence by repeatedly taking inventory. We take inventory each time we add 0 to the sequence. To take inventory we start by counting the number of zeros in the sequence and add the number to the end of the sequence, then we continue by counting the number of ones and add that to the sequence and so on. We stop when we reach a number that is not in the sequence and we add 0 to the sequence then start over.

The first few terms are as follows:

0 1 2 3 4 5
-----------
0
1 1 0
2 2 2 0
3 2 4 1 1 0
4 4 4 1 4 0
Print the first 1,000 terms of the inventory sequence, each on their own line.","public class InventorySequence {
    public static void main(String[] args) {
        int[] sequence = new int[1000]; // initialize an array to store sequence
        sequence[0] = 0; // first term is always 0

        for (int i = 1; i < sequence.length; i++) {
            int count = 0; // initialize count of zeros and ones
            int j = i - 1;
            while (j >= 0 && sequence[j] != sequence[i - 1]) { // count zeros and ones
                count++;
                j--;
            }
            sequence[i] = count; // add count to the sequence

            if (i == sequence.length - 1) { // reached end of sequence
                break;
            }
            sequence[i+1] = 0; // add 0 to start a new sequence
        }

        for (int i = 0; i < sequence.length; i++) {
            System.out.println(sequence[i]); // print each term on a new line
        }
    }
}
    "
